Index,Date,Compound Score,Pos Text,Neg Text
0,2021-11-14,0.0,,
1,2021-11-14,0.5719,i am happy,
2,2021-11-14,0.5719,i won the competition,
3,2021-11-14,-0.4767,,i am sad
4,2021-11-14,0.5719,i am happy,
5,2021-11-14,0.5719,happy,
6,2021-11-14,0.0,,
7,2021-11-14,0.0,,
8,2021-11-14,0.0,,
9,2021-11-14,0.4019,yes,
10,2021-11-14,0.0,,
11,2021-11-14,-0.4767,,i’m sad
12,2021-11-14,0.0,,
13,2021-11-14,-0.5423,,fuck u
14,2021-11-14,-0.296,,no
15,2021-11-14,0.0772,,
16,2021-11-14,0.0,,
17,2021-11-14,0.0,,
18,2021-11-14,-0.296,,no
19,2021-11-14,0.296,ok,
20,2021-11-14,0.296,ok,
21,2021-11-14,0.296,ok,
22,2021-11-14,0.296,ok,
23,2021-11-14,0.296,ok,
24,2021-11-14,0.0,,
25,2021-11-14,0.0,,
26,2021-11-14,0.0,,
27,2021-11-14,0.0,,
28,2021-11-14,0.0,,
29,2021-11-14,0.296,yeah,
30,2021-11-14,0.5719,i am happy,
31,2021-11-14,0.5719,i won the competition,
32,2021-11-18,0.5719,i am happy,
33,2021-11-18,0.5719,i am happy,
34,2021-11-18,0.5719,i am happy,
35,2021-11-19,0.0,,
36,2021-11-19,0.0,,
37,2021-11-19,-0.6908,,i wantt to kill my family
38,2021-11-19,0.4838,i really wish my dad didnt leave us..,
39,2021-11-19,-0.4677,,but why do i feel so empty
40,2021-11-19,0.0,,
